Model,Factory
Adella,LCFC
Agni,MSI
Akatsuki,Quanta
Akatsuki2,Quanta
Akatsuki3,Quanta
Akatsuki4,Quanta
Alana,Quanta
Alana2,Quanta
Andrina,LCFC
Andrina2,LCFC
AQUA,Quanta
Aqua2,Quanta
Ariel,Ariel
Ariel,Ariel
Ariel2,Ariel
Asahi2,Lenovo
Aurora,MSI
Canopus,MSI
Capella,MSI
Capella2,MSI
Casper,MSI
Casper2,MSI
Casper3,MSI
Cocoon,Quanta
Cocoon2,Quanta
Conan,MSI
Conan2,MSI
Conan3,MSI
Conan4,MSI
Cooper,Cooper
Cooper NX350,Cooper
Cooper2,Cooper
Cooper3,Cooper
Cooper-S,Cooper
Cooper-S2,Cooper
Deneb,Lenovo
Deneb2,Lenovo
Ella2-Ref,Lenovo
Finn,Lenovo
Finn-Ref,Lenovo
Finn-Ref2,Lenovo
Flamingo,MSI
Fusion KB,Quanta
Fusion6-B,Quanta
Fusion7-B,Quanta
Fusion-K,Quanta
Fusion-K2B,Quanta
Fusion-K3,Quanta
Fusion-K3B,Quanta
Fusion-KB,Quanta
Fusion-KR,Quanta
Fusion-R3,Quanta
Fusion-S,Quanta
Fusion-S2B,Quanta
Fusion-S3,Quanta
Fusion-SB,Quanta
Hellcat-N,MSI
Hera,Lenovo
Hera-Ref,Lenovo
Hibiki,MSI
Hibiki Global,MSI
Hibiki Nojima,MSI
Hibiki2,MSI
ICG5-N,Lenovo
Ikazuchi,Quanta
Ikazuchi2,Quanta
Ikazuchi3,Quanta
Ikazuchi4,Quanta
Ikazuchi5,Quanta
IP320,Lenovo
IP330,Lenovo
IP330-AST,Lenovo
IP330-Ref,Lenovo
IP330-Ref AST,Lenovo
IP330-Ref(IKBR),Lenovo
Justice7-S,Quanta
Kanade,MSI
Kanade_5G,MSI
Kanade2,MSI
Kanade-R,MSI
Kanade-R2,MSI
Kanede Global,MSI
Kei,Lenovo
Kei,Lenovo
Kei-Ref,Lenovo
Kei-Ref2,Lenovo
Kei-Ref3,Lenovo
Kei-Ref4,Lenovo
Kei-Ref5,Lenovo
Kei-Ref5,Lenovo
Kei-Ref5(Comm),Lenovo
Kenshin,Quanta
Kenshin2,Quanta
Kenshin3,Quanta
Kenshin-AC,Quanta
Kenshin-AL,Quanta
Kenshin-AR,Quanta
Kenshin-R,Quanta
Mew-R3,Quanta
Kenshin-R2,Quanta
Kenshin-R3,Quanta
Kenshin-VP,Quanta
Kiwami,MSI
Kiwami2,MSI
Kiwami3,MSI
Kiwami4,MSI
Kiwami4,MSI
Kiwami-R,MSI
Kiwami-R2,MSI
Kiwami-S,MSI
Kiwami-S2,MSI
Kohaku,MSI
Komachi,Quanta
Komachi-C,Quanta
Komachi-W,Quanta
Komachi-W2,Quanta
Komachi-W3,Quanta
L340,Lenovo
L340-Ref,Lenovo
L340Refresh,Lenovo
L360,Lenovo
Lapin,Quanta
Liberta,Quanta
Liberta-K,Quanta
Liberta-K,Quanta
Lin2,Compal
Lin2 KBR,Compal
Lin2KBR2,Compal
Lin2-KBR3,Compal
Lin2-Ref,Compal
Lin2-Ref2,Compal
Lin2-Ref3,Compal
Lin-Ref2,Compal
Lin-Ref2,Compal
Lugia,LCFC
Mew,Quanta
Mew2,Quanta
Mew3,Quanta
Mew3-L,Quanta
Mew-DR,Quanta
Mew-DR2,Quanta
Mew-DR2H,Quanta
Mew-R,Quanta
Mew-R2,Quanta
Mew-R2H,Quanta
Mew-R2L,Quanta
MF1,Quanta
Mimosa,Lenovo
Mimosa2,Lenovo
Mimosa3,Lenovo
Mimosa-LV,Lenovo
Mira,Lenovo
MSIS,MSI
Narihira-C,Quanta
Narihira-W,Quanta
Narihira-W,Quanta
Narihira-W2,Quanta
Odin,MSI
Redwood,MSI
Redwood2,MSI
Rigel,MSI
Rigel2,MSI
Rigel3,MSI
Rotom,MSI
Rotom2,MSI
Rotom3,MSI
Ryujin,MSI
Ryujin2,MSI
Ryujin2,MSI
Ryujin2,MSI
Ryujin3,MSI
Serval,Lenovo
Serval2,Lenovo
Serval-Ref,Lenovo
Shingen,Quanta
Sideswipe,Lenovo
Sideswipe2,Lenovo
SideSwipe2-Ref,Lenovo
Sideswipe-Ref,Lenovo
Sky,MSI
Soleil,Quanta
Soleil2,Quanta
Soleil3,Quanta
SONATA2,Quanta
SONATA3,Quanta
Spear,Quanta
Spear2,Quanta
Spica,Lenovo
Spica2,Lenovo
Spica3,Lenovo
Suigetsu4,MSI
Lunar7-SH,MSI
Suigetsu-S,MSI
Suigetsu-S2,MSI
Suigetsu-S3_Liberta2,MSI
TelAviv8-SB,MSI
Thorpe,Lenovo
Thorpe-Refresh2,Lenovo
Thorpe-Refresh3,Lenovo
Tiny2,Lenovo
Tissot,Lenovo
Triton,Quanta
Triton2,Quanta
U5,Compal
U52,Compal
U53,Compal
Valletta,Lenovo
Valletta2,Lenovo
Vega,MSI
Vega3,MSI
Vega3,MSI
Vega3_Spica3,MSI
Voodoo-N,MSI
WF1,MSI
WF12,MSI
WF13,MSI
WN1,Quanta
WN12,Quanta
WV3-Ref2,Lenovo
WV3-Ref3,Lenovo
WV3-Ref4,Lenovo
Yellowstone,MSI
yellowstone,MSI
Yellowstone2,MSI
Yellowstone3,MSI
Yellowstone5,MSI
Valletta3,MSI
Yukon,Lenovo
Yukon2,Lenovo
Zion,Lenovo
